PID    Process Adi                      RAM (KB)
4420   chrome.exe                         104616
16472  chrome.exe                         118040
16800  chrome.exe                         145896
11532  chrome.exe                          89180
14660  chrome.exe                         255708
2260   chrome.exe                         169932
5148   chrome.exe                         141612
16468  chrome.exe                         170908
12936  chrome.exe                         116772
14144  chrome.exe                         287556
17296  chrome.exe                         201556
16704  chrome.exe                         138232
8588   chrome.exe                         191388
8300   chrome.exe                          93676
6124   chrome.exe                          78832
12264  chrome.exe                          17228
11616  chrome.exe                         139760
12324  chrome.exe                         140948
16424  chrome.exe                         191956
10724  chrome.exe                         101564
9924   chrome.exe                         190548
13528  chrome.exe                         139576
17436  chrome.exe                         186344
17580  chrome.exe                         184672
17696  chrome.exe                         172412
17808  chrome.exe                         128484
18340  Code.exe                           142144
18092  Code.exe                            30112
17788  Code.exe                           144656
8876   Code.exe                            46808
18324  ChatGPT.exe                        184196
9016   Code.exe                           605196
11004  ChatGPT.exe                         32744
18416  ChatGPT.exe                        107312
18220  ChatGPT.exe                         57624
18848  ChatGPT.exe                        474696
18860  Code.exe                           116564
19716  Code.exe                           122416
20272  Code.exe                           649108
20360  Code.exe                           121020
20276  conhost.exe                          7276
20176  powershell.exe                      80476
19500  Code.exe                           104416
19424  cpptools.exe                        67520
19416  conhost.exe                         11540
19256  Code.exe                           110744
19268  cpptools.exe                         3220
19412  Video.UI.exe                         3476
18280  RuntimeBroker.exe                    8028
17252  OfficeClickToRun.exe                  N/A
21020  AppVShNotify.exe                     8696
21500  SearchIndexer.exe                     N/A
9028   chrome.exe                         168956
20536  chrome.exe                          83640
18972  chrome.exe                         532112
11452  chrome.exe                          63628
19608  audiodg.exe                           N/A
1596   svchost.exe                           N/A
16260  RuntimeBroker.exe                   19976
4232   svchost.exe                         14124
14020  chrome.exe                         132340
21304  chrome.exe                          81380
19460  chrome.exe                          93104
3688   chrome.exe                          86268
4496   chrome.exe                          17264
460    chrome.exe                         132908
5252   chrome.exe                          77464
5304   chrome.exe                          85468
14980  chrome.exe                          78104
9488   chrome.exe                          77700
7476   chrome.exe                          77384
5980   chrome.exe                          82596
16564  chrome.exe                         169704
4424   WhatsApp.exe                        35408
10844  RuntimeBroker.exe                   30160
17140  chrome.exe                          29844
21116  cpptools-srv.exe                    37840
1532   conhost.exe                         11564
20996  chrome.exe                          51776
14472  svchost.exe                           N/A
7536   svchost.exe                           N/A
8144   RuntimeBroker.exe                   10636
20192  RuntimeBroker.exe                   10472
20024  PhoneExperienceHost.exe            155560
8976   svchost.exe                           N/A
19320  chrome.exe                          58756
4276   process_monitor.exe                  4552
